year, district, line_num, ginkgo, sycamore, zelkova, cherry, silver_maple, metasequoia, locust, ailanthus, persimmon, weeping_willow, tulip_poplar, horse_chestnut, poplar, elm, apricot, rose_of_sharon, pine, magnolia, retusa_fringetree, etc
2012, 종로구,50,5498,1370,547,369,11,32,117,46,0,7,0,17,5,0,0,87,299,0,21,64
2012, 중구,48,4104,244,425,249,0,0,268,0,0,0,9,0,0,0,22,0,2129,0,334,26
2012, 용산구,52,4645,1621,260,230,0,0,40,0,46,0,0,16,2,0,39,0,56,126,191,108
2012, 성동구,32,1149,2987,1741,422,29,49,403,43,150,0,0,1,3,56,0,0,53,0,143,154
2012, 광진구,22,1519,3137,936,368,3,0,163,2,10,0,80,25,0,0,0,0,22,0,193,103
2012, 동대문구,38,3778,4034,866,272,0,87,155,10,37,7,46,19,0,1,27,1,0,0,310,104
2012, 중랑구,46,2821,2812,334,109,61,223,1,0,47,0,0,82,0,0,0,0,1,0,124,402
2012, 성북구,32,2959,2155,613,1037,64,70,66,5,85,0,8,0,1,0,0,0,35,0,272,88
2012, 강북구,13,3173,989,98,340,328,0,139,0,0,0,5,0,0,153,0,0,792,0,350,95
2012, 도봉구,58,4956,624,882,1858,8,47,23,0,0,13,15,0,0,0,0,0,15,0,30,14
2012, 노원구,50,6547,3534,1135,1489,0,281,41,0,1,0,0,0,0,26,58,0,32,1,72,565
2012, 은평구,34,4352,2078,898,2092,0,17,334,7,9,0,0,16,0,0,0,26,0,0,467,251
2012, 서대문구,28,3571,2029,549,407,0,25,84,0,4,0,11,5,4,0,0,0,0,0,307,217
2012, 마포구,85,3372,3788,2924,863,0,474,993,0,126,0,0,0,0,0,64,0,117,93,745,39
2012, 양천구,69,5765,4069,1024,913,0,74,160,0,37,0,0,2,0,0,0,0,0,0,565,95
2012, 강서구,40,4455,789,939,1824,0,1590,302,0,0,0,0,0,0,0,0,0,255,0,375,57
2012, 구로구,77,3497,1815,1652,1474,14,3,0,0,0,5,0,0,0,0,0,0,4,0,952,67
2012, 금천구,27,3801,1173,354,1053,0,32,173,0,28,0,0,7,0,0,0,0,0,0,111,18
2012, 영등포구,86,5934,3842,2705,2293,230,53,188,0,60,0,0,191,0,0,0,0,0,0,430,165
2012, 동작구,27,2168,932,1081,728,0,99,9,0,0,0,0,0,0,0,0,0,0,0,386,130
2012, 관악구,28,2256,2390,186,2106,0,68,86,0,259,0,0,0,0,0,0,0,102,0,38,213
